model;version;instance;run;memoryMB;preprocessingTimeS;compileTimePassOneS;compileTimePassTwoS;totalCompileTimeS;compileOptimized;presolveTimeS;originalConstraints;originalVariables;originalCoefficients;presolvedConstraints;presolvedVariables;presolvedCoefficients;numberOfSolutions;bestObjective;bestBound;mipGap;isSolutionValid;objectiveByValidator;isCrashedCompile;isCrashedSolve
AllConstraints;v4;i12;7;5116;0.18;65.87;192.45;192.45;true;16.53;485033;603959;2062120;142264;555371;1783119;10;15,781.00;6,487.00;0.59;true;15781;false;false
AllConstraints;v4;i13;5;5117;0.17;62.05;189.42;189.42;true;19.79;506051;637858;2284307;148756;536105;1771999;10;25,014.00;8,815.00;0.65;true;25014;false;false
AllConstraints;v4;i13;6;5117;0.18;61.59;188.50;188.50;true;19.73;506050;637857;2284304;148676;538156;1779076;10;25,072.00;8,997.00;0.64;true;25072;false;false
AllConstraints;v4;i13;7;5117;0.17;61.87;188.69;188.69;true;20.07;506050;637857;2284304;148676;538156;1779076;10;25,055.00;8,935.00;0.64;true;25055;false;false
AllConstraints;v4;i14;5;13509;0.17;177.52;540.06;540.06;true;34.20;1420301;1690460;5710167;325739;1477201;4849199;10;22,001.00;5,322.00;0.76;true;22001;false;false
AllConstraints;v4;i14;6;13509;0.18;176.65;538.58;538.58;true;34.11;1420301;1690460;5710167;325110;1477426;4854727;10;23,419.00;5,322.00;0.77;true;23419;false;false
AllConstraints;v4;i14;7;13509;0.18;177.91;543.76;543.76;true;34.75;1420301;1690460;5710167;325739;1477201;4849199;10;22,001.00;5,322.00;0.76;true;22001;false;false
AllConstraints;v4;i15;5;11046;0.17;142.47;437.26;437.26;true;42.13;1168837;1380804;4897581;276889;1125522;3782292;10;28,357.00;5,931.00;0.79;true;28357;false;false
AllConstraints;v4;i15;6;11046;0.18;142.26;437.02;437.02;true;42.60;1168837;1380804;4897581;276984;1104873;3702588;10;26,614.00;5,931.00;0.78;true;26614;false;false
AllConstraints;v4;i15;7;11046;0.18;142.66;436.93;436.93;true;43.03;1168837;1380804;4897581;276984;1104873;3702588;10;26,569.00;5,931.00;0.78;true;26569;false;false
AllConstraints;v4;i16;5;9099;0.18;125.63;376.66;376.66;true;40.25;962898;1190237;3984793;240869;1043550;3364850;1;76,675.00;4,068.00;0.95;true;25803;false;false
AllConstraints;v4;i16;6;9099;0.18;125.11;376.64;376.64;true;40.42;962898;1190237;3984793;240954;1043752;3365497;0;;4,068.00;;;;false;false
AllConstraints;v4;i16;7;9099;0.18;126.01;378.61;378.61;true;41.17;962898;1190237;3984793;240791;1043319;3364904;0;;4,068.00;;;;false;false
